Date,Arrive,Start,Finish
2018-04-24,12:01:36,12:01:36,12:01:54
2018-04-24,12:02:26,12:02:26,12:03:04
2018-04-24,12:03:12,12:03:12,12:03:33
2018-04-24,12:07:15,12:07:15,12:07:57
2018-04-24,12:08:18,12:08:18,12:08:31
2018-04-24,12:10:07,12:10:07,12:10:19
2018-04-24,12:10:42,12:10:42,12:11:16
2018-04-24,12:12:50,12:12:50,12:13:15
2018-04-24,12:14:15,12:14:15,12:14:51
2018-04-24,12:14:34,12:14:51,12:15:07
2018-04-24,12:15:52,12:15:52,12:17:35
2018-04-24,12:16:54,12:17:35,12:17:55
2018-04-24,12:17:38,12:17:55,12:18:19
2018-04-24,12:18:02,12:18:19,12:20:07
2018-04-24,12:19:08,12:20:07,12:20:23
2018-04-24,12:24:06,12:24:06,12:24:24
2018-04-24,12:24:31,12:24:31,12:25:07
2018-04-24,12:26:04,12:26:04,12:26:46
2018-04-24,12:26:29,12:26:46,12:27:56
2018-04-24,12:29:10,12:29:10,12:29:31
2018-04-24,12:29:25,12:29:31,12:30:10
2018-04-24,12:29:54,12:30:10,12:30:39
2018-04-24,12:30:21,12:30:39,12:31:02
2018-04-24,12:30:24,12:31:02,12:32:13
2018-04-24,12:30:51,12:32:13,12:32:47
2018-04-24,12:31:21,12:32:47,12:33:17
2018-04-24,12:31:26,12:33:17,12:33:48
2018-04-24,12:31:52,12:33:48,12:34:17
2018-04-24,12:32:56,12:34:17,12:34:45
2018-04-24,12:36:42,12:36:42,12:37:04
2018-04-24,12:37:06,12:37:06,12:37:24
2018-04-24,12:37:51,12:37:51,12:38:31
2018-04-24,12:38:07,12:38:31,12:38:45
2018-04-24,12:39:38,12:39:38,12:40:01
2018-04-24,12:40:57,12:40:57,12:41:51
2018-04-24,12:42:52,12:42:52,12:43:23
2018-04-24,12:47:46,12:47:46,12:48:04
2018-04-24,12:48:13,12:48:13,12:48:31
2018-04-24,12:48:51,12:48:51,12:49:32
2018-04-24,12:49:06,12:49:32,12:50:09
2018-04-24,12:49:25,12:50:09,12:51:53
2018-04-24,12:50:16,12:51:53,12:52:21
2018-04-24,12:50:23,12:52:21,12:52:38
2018-04-24,12:54:10,12:54:10,12:55:21
2018-04-24,12:54:31,12:55:21,12:55:33
2018-04-24,12:55:23,12:55:33,12:56:46
2018-04-24,12:56:01,12:56:46,12:57:11
2018-04-24,13:01:50,13:01:50,13:02:07
2018-04-24,13:03:04,13:03:04,13:03:13
2018-04-24,13:03:24,13:03:24,13:03:57
2018-04-24,13:05:03,13:05:03,13:05:39
2018-04-24,13:05:26,13:05:39,13:06:01
2018-04-24,13:06:37,13:06:37,13:07:23
2018-04-24,13:08:12,13:08:12,13:08:48
2018-04-24,13:08:22,13:08:48,13:09:29
2018-04-24,13:08:53,13:09:29,13:11:00
2018-04-24,13:11:37,13:11:37,13:11:52
2018-04-24,13:12:36,13:12:36,13:12:54
2018-04-24,13:12:49,13:12:54,13:13:55
2018-04-24,13:13:42,13:13:55,13:14:18
2018-04-24,13:15:28,13:15:28,13:16:03
2018-04-24,13:16:35,13:16:35,13:16:59
2018-04-24,13:20:02,13:20:02,13:20:16
2018-04-24,13:22:34,13:22:34,13:23:09
2018-04-24,13:22:54,13:23:09,13:23:53
2018-04-24,13:25:49,13:25:49,13:26:08
2018-04-24,13:31:54,13:31:54,13:32:09
2018-04-24,13:33:46,13:33:46,13:34:11
2018-04-24,13:35:56,13:35:56,13:36:07
2018-04-24,13:36:52,13:36:52,13:37:18
2018-04-24,13:42:19,13:42:19,13:42:44
2018-04-24,13:49:41,13:49:41,13:50:21
2018-04-24,13:50:06,13:50:21,13:50:36
2018-04-24,13:52:04,13:52:04,13:52:28
2018-04-24,13:53:33,13:53:33,13:54:04
2018-04-24,13:55:38,13:55:38,13:55:56
