Date,Arrive,Start,Finish
2018-04-27,11:58:43,11:58:43,11:59:29
2018-04-27,11:59:23,11:59:29,12:00:06
2018-04-27,12:02:09,12:02:09,12:02:28
2018-04-27,12:03:56,12:03:56,12:04:14
2018-04-27,12:05:48,12:05:48,12:06:39
2018-04-27,12:13:32,12:13:32,12:15:40
2018-04-27,12:13:46,12:15:40,12:16:13
2018-04-27,12:13:52,12:16:13,12:16:53
2018-04-27,12:14:01,12:16:53,12:17:24
2018-04-27,12:15:35,12:17:24,12:18:14
2018-04-27,12:18:03,12:18:14,12:18:35
2018-04-27,12:18:19,12:18:35,12:18:57
2018-04-27,12:18:41,12:18:57,12:19:13
2018-04-27,12:21:46,12:21:46,12:22:21
2018-04-27,12:22:07,12:22:21,12:22:45
2018-04-27,12:23:25,12:23:25,12:24:21
2018-04-27,12:25:10,12:25:10,12:25:33
2018-04-27,12:25:46,12:25:46,12:26:19
2018-04-27,12:29:48,12:29:48,12:30:28
2018-04-27,12:34:32,12:34:32,12:35:04
2018-04-27,12:34:57,12:35:04,12:35:31
2018-04-27,12:34:59,12:35:31,12:36:20
2018-04-27,12:35:53,12:36:20,12:36:42
2018-04-27,12:38:51,12:38:51,12:39:09
2018-04-27,12:40:43,12:40:43,12:41:04
2018-04-27,12:42:20,12:42:20,12:42:33
2018-04-27,12:45:37,12:45:37,12:45:53
2018-04-27,12:45:41,12:45:53,12:46:20
2018-04-27,12:48:11,12:48:11,12:48:54
2018-04-27,12:50:24,12:50:24,12:51:42
2018-04-27,12:50:32,12:51:42,12:52:17
2018-04-27,12:52:46,12:52:46,12:53:02
2018-04-27,12:53:29,12:53:29,12:53:46
2018-04-27,13:00:38,13:00:38,13:01:06
2018-04-27,13:00:51,13:01:06,13:03:32
2018-04-27,13:02:33,13:03:32,13:04:32
2018-04-27,13:03:10,13:04:32,13:04:45
2018-04-27,13:04:31,13:04:45,13:05:15
2018-04-27,13:08:14,13:08:14,13:09:03
2018-04-27,13:12:36,13:12:36,13:13:07
2018-04-27,13:13:45,13:13:45,13:14:02
2018-04-27,13:14:13,13:14:13,13:14:46
2018-04-27,13:15:34,13:15:34,13:15:57
2018-04-27,13:16:08,13:16:08,13:16:24
2018-04-27,13:16:53,13:16:53,13:17:11
2018-04-27,13:17:09,13:17:11,13:18:04
2018-04-27,13:18:12,13:18:12,13:19:31
2018-04-27,13:20:49,13:20:49,13:21:21
2018-04-27,13:22:07,13:22:07,13:22:54
2018-04-27,13:28:17,13:28:17,13:28:29
2018-04-27,13:36:54,13:36:54,13:37:13
2018-04-27,13:37:10,13:37:13,13:37:58
2018-04-27,13:38:34,13:38:34,13:39:36
2018-04-27,13:40:28,13:40:28,13:41:34
2018-04-27,13:44:32,13:44:32,13:44:53
2018-04-27,13:46:07,13:46:07,13:46:21
2018-04-27,13:52:52,13:52:52,13:53:02
